Country,CountryID,New_cases,New_deaths
Somalia,SOM,26957,1361
South Africa,ZAF,4004201,101977
South Sudan,SSD,17733,138
Spain,ESP,13203228,110394
Sri Lanka,LKA,665400,16548
Sudan,SDN,63006,4957
Suriname,SUR,80966,1380
Sweden,SWE,2539715,19358
Switzerland,CHE,3930663,13415
Syrian Arab Republic,SYR,56214,3150
Tajikistan,TJK,17786,125
Thailand,THA,4586550,31327
The United Kingdom,GBR,23304931,183953
Timor-Leste,TLS,22999,133
Togo,TGO,37998,278
Tokelau,TKL,0,0
Tonga,TON,12539,12
Trinidad and Tobago,TTO,170710,4046
Tunisia,TUN,1128693,29041
Turkmenistan,TKM,0,0
Turks and Caicos Islands,TCA,6303,36
Tuvalu,TUV,8,0
Türkiye,TUR,15524071,99184
Uganda,UGA,168181,3627
Ukraine,UKR,5023710,108713
United Arab Emirates,ARE,986747,2334
United Republic of Tanzania,TZA,37329,841
United States Virgin Islands,VIR,21677,120
United States of America,USA,89803788,1018670
Uruguay,URY,969803,7403
Uzbekistan,UZB,243002,1637
Vanuatu,VUT,11724,14
Venezuela (Bolivarian Republic of),VEN,534014,5757
Viet Nam,VNM,10772980,43092
Wallis and Futuna,WLF,761,7
Yemen,YEM,11849,2149
Zambia,ZMB,329483,4015
Zimbabwe,ZWE,256336,5576
"occupied Palestinian territory, including east Jerusalem",PSE,682096,5678
